time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,9.655214548437163202e-01,-1.463365573999236002e-01,2.601726748011828350e-01,9.584951022674914611e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,7.500000000000001110e-02,-1.500000000000000222e-01,2.828500067873760404e-01,1.809258084767613184e-01,2.834438007232443213e-01,4.748600000000000043e-01
5.000000000000000278e-02,-1.479168296233440982e-01,2.529882245968976262e-01,9.584816061477958726e-01,-1.333424848935510776e-01,2.532380841055383303e-01,9.609503822871579004e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,1.500000000000000222e-01,-3.000000000000000444e-01,2.834928543977972559e-01,1.738859597808408708e-01,2.838764136694905127e-01,2.911960000000000104e-01
1.000000000000000056e-01,-1.438061618274828479e-01,2.587480636910663989e-01,9.434177271005088627e-01,-1.296581531623126060e-01,2.569207054687510650e-01,9.367473656056812814e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,2.250000000000000333e-01,-4.500000000000000666e-01,2.846645953995556311e-01,1.588220807335538609e-01,2.847707099569196099e-01,2.897929999999999673e-01
1.500000000000000222e-01,-1.374249642548079631e-01,2.673555764106738120e-01,9.222880552761587580e-01,-1.370265020161998415e-01,2.581130606151655904e-01,9.293145655226631163e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,3.000000000000000444e-01,-6.000000000000000888e-01,2.862473430011620579e-01,1.376924089092037562e-01,2.862612726424568765e-01,2.695260000000000433e-01
2.000000000000000111e-01,-1.286672361972138745e-01,2.785760591863367663e-01,8.938147795046855748e-01,-1.056084411341840085e-01,2.676902663480559275e-01,8.749997888493403764e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.750000000000000555e-01,-7.500000000000001110e-01,2.879910225678999347e-01,1.101468857319285455e-01,2.893162715947811270e-01,2.627829999999999888e-01
2.500000000000000000e-01,-1.172777998900145641e-01,2.922801731509220291e-01,8.609448426674148891e-01,-1.133121203526287479e-01,3.070059752793116714e-01,8.617862230364643494e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,4.500000000000000666e-01,-9.000000000000001332e-01,2.896584459623531282e-01,7.727694889465785977e-02,2.898282297667619245e-01,2.652980000000000338e-01
3.000000000000000444e-01,-1.029312323519601252e-01,3.083124211708530016e-01,8.207151615525436483e-01,-9.460167706857829095e-02,3.142568096795521626e-01,8.066511884520495279e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,5.250000000000001332e-01,-7.500000000000001110e-01,2.908875682960435083e-01,3.704726777978661900e-02,2.911171745212416395e-01,2.611890000000000045e-01
3.500000000000000333e-01,-8.618888661704368626e-02,3.257631061945103768e-01,7.915070331201521370e-01,-1.113782420428009179e-01,2.985972396458503875e-01,7.918186840080050359e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.000000000000000888e-01,-6.931927005202457304e-01,2.914302737132546950e-01,7.839139347395107649e-03,2.936132629652911663e-01,2.606090000000000351e-01
4.000000000000000222e-01,-6.625144048881886905e-02,3.453010539443702731e-01,7.590496100985375527e-01,-7.131184016205120713e-02,3.331109286138323466e-01,7.691627850826341373e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,6.242332495963184291e-01,-6.315455129809021129e-01,2.912457730985524851e-01,-2.331621881335665947e-02,2.918656235531655319e-01,2.830810000000000271e-01
4.500000000000000111e-01,-4.407971014421717404e-02,3.657144107115202214e-01,7.292119415050444253e-01,-2.305997513181897579e-02,3.683779833336629506e-01,7.348674202497362806e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,6.027025414696992600e-01,-5.267917296435759011e-01,2.901346218047872738e-01,-5.147427993918141098e-02,2.901693507380538883e-01,2.550280000000000324e-01
5.000000000000000000e-01,-2.281695807112111771e-02,3.842917202905466456e-01,7.069768409878518511e-01,-3.080989686114392334e-02,3.939004455365313073e-01,6.995710263013195096e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,6.552312066484314856e-01,-4.861269215327556625e-01,2.883857037007608870e-01,-7.164804967683613413e-02,2.886327801023463313e-01,2.517920000000000158e-01
5.500000000000000444e-01,7.189164279341776764e-04,4.039582902529991748e-01,6.851718018397985333e-01,-1.719515630968577666e-02,4.184541517869914129e-01,6.696994584421709362e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,5.939465186133470187e-01,-4.209268122459154937e-01,2.858566683598410263e-01,-9.345308882488945201e-02,2.864628732014618540e-01,2.456710000000000282e-01
6.000000000000000888e-01,2.241080254431263019e-02,4.213384849620757655e-01,6.658094521755142381e-01,4.140997080372157968e-02,4.045441066095235572e-01,6.592910917567511575e-01,2.194686221820905392e-01,2.181432413965425365e-01,7.761766847564688376e-01,6.630718332363159107e-01,-2.903597385260819341e-01,2.830496407348728205e-01,-1.103672325809545995e-01,2.830549262741268168e-01,2.518820000000000503e-01
