time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,9.655214548437163202e-01,-1.463365573999236002e-01,2.601726748011828350e-01,9.584951022674914611e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,7.500000000000001110e-02,-1.500000000000000222e-01,2.828500067873760404e-01,1.809258084767613184e-01,2.834438007232443213e-01,6.192920000000000647e-01
5.000000000000000278e-02,-1.479168296233440982e-01,2.529882245968976262e-01,9.584816061477958726e-01,-1.333424848935510776e-01,2.532380841055383303e-01,9.609503822871579004e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,1.500000000000000222e-01,-3.000000000000000444e-01,2.834928543977972559e-01,1.738859597808408708e-01,2.838764136694905127e-01,3.467700000000000227e-01
1.000000000000000056e-01,-1.438061618274828479e-01,2.587480636910663989e-01,9.434177271005088627e-01,-1.296581531623126060e-01,2.569207054687510650e-01,9.367473656056812814e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,2.250000000000000333e-01,-4.500000000000000666e-01,2.846645953995556311e-01,1.588220807335538609e-01,2.847707099569196099e-01,3.467810000000000059e-01
1.500000000000000222e-01,-1.374249642548079631e-01,2.673555764106738120e-01,9.222880552761587580e-01,-1.370265020161998415e-01,2.581130606151655904e-01,9.293145655226631163e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,3.000000000000000444e-01,-6.000000000000000888e-01,2.862473430011620579e-01,1.376924089092037562e-01,2.862612726424568765e-01,3.262220000000000120e-01
2.000000000000000111e-01,-1.286672361972138745e-01,2.785760591863367663e-01,8.938147795046855748e-01,-1.056084411341840085e-01,2.676902663480559275e-01,8.749997888493403764e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.750000000000000555e-01,-6.778439864282042038e-01,2.879910225678999347e-01,1.101468857319285455e-01,2.893162715947811270e-01,3.244790000000000174e-01
2.500000000000000000e-01,-1.172888270920970782e-01,2.923153079948079824e-01,8.644133666053619436e-01,-1.133231475547112621e-01,3.070411101231976247e-01,8.652547469744114039e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.215661980649044960e-01,-6.843476726225490303e-01,2.896911169045619516e-01,8.074547283260491426e-02,2.898603006655289249e-01,3.237470000000000625e-01
3.000000000000000444e-01,-1.071373718907746991e-01,3.038487999091564751e-01,8.336758745278949334e-01,-9.880781660739286487e-02,3.097931884178556361e-01,8.196119014274008130e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.058377644934570094e-01,-5.343476726225490081e-01,2.906948941759639471e-01,5.000798075513790408e-02,2.907456006155814676e-01,3.709050000000000402e-01
3.500000000000000333e-01,-9.757941721399818191e-02,3.141519214144978811e-01,8.121231828938388908e-01,-1.227687726397554135e-01,2.869860548658378918e-01,8.124348337816913457e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.808377644934570205e-01,-4.667271164246416526e-01,2.912461056291259509e-01,2.845528912108186148e-02,2.918963565216766143e-01,3.445970000000000422e-01
4.000000000000000222e-01,-8.524970292655259518e-02,3.268776030352720241e-01,7.902778628707123332e-01,-9.031010259978493326e-02,3.146874777047340976e-01,8.003910378548089177e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,4.320575477496182981e-01,-4.282705053121773631e-01,2.915719854332466943e-01,7.912033958818120993e-03,2.916671641297169382e-01,3.211620000000000030e-01
4.500000000000000111e-01,-7.042220343749952538e-02,3.415507395859108120e-01,7.700535011048392775e-01,-4.940246842510132713e-02,3.442143122080535411e-01,7.757089798495311328e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,4.309759453457777667e-01,-3.389525344338841228e-01,2.915069864867733118e-01,-1.063272033938655881e-02,2.931751869648296926e-01,3.282650000000000290e-01
5.000000000000000000e-01,-5.582546002260041496e-02,3.555075416629880913e-01,7.559263790954240392e-01,-6.381839881262321712e-02,3.651162669089727530e-01,7.485205644088916976e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,3.768651310837998203e-01,-2.642607458431099898e-01,2.911496203179641529e-01,-2.475984234880179713e-02,2.913588012749339096e-01,3.458390000000000075e-01
5.500000000000000444e-01,-4.291730680436442458e-02,3.675330930771547600e-01,7.441036130183462660e-01,-6.083137954198437891e-02,3.820289546111469980e-01,7.286312696207186690e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,3.160790258707535383e-01,-2.023861965545219466e-01,2.906086084847129269e-01,-3.658260842587957029e-02,2.906834311134979809e-01,3.281350000000000100e-01
6.000000000000000888e-01,-3.198800793353211852e-02,3.775016561686293515e-01,7.348115637638832354e-01,-1.298883967412317250e-02,3.607072778160771431e-01,7.282932033451201548e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,3.910790258707535494e-01,-1.535086985496006973e-01,2.899928322371807532e-01,-4.381332690080474990e-02,2.909223700060801221e-01,3.276350000000000096e-01
6.500000000000000222e-01,-1.831471835311647423e-02,3.897631900625778134e-01,7.272226000063102269e-01,-5.287861197050096329e-03,3.944296687579496585e-01,7.275209269928297751e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,3.546063259985792193e-01,-1.791174974257546404e-01,2.891188051126705183e-01,-5.140229065837775835e-02,2.891601977882966579e-01,3.252400000000000291e-01
7.000000000000000666e-01,-6.315944904646642738e-03,4.003407766038937221e-01,7.178391886834827318e-01,-2.664882052873417118e-02,4.002545778041546876e-01,7.269548674353116802e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,3.577830946278186541e-01,-1.966069579357194452e-01,2.882220242680610389e-01,-6.078570198120525347e-02,2.884348346744634028e-01,3.184370000000000256e-01
7.500000000000000000e-01,6.174598762918254505e-03,4.111306131594746338e-01,7.071097493667037881e-01,1.162012543741266883e-03,3.959205579696828403e-01,7.175558781252915352e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,3.441297373419753836e-01,-1.380123910839228252e-01,2.871309691527401675e-01,-7.151514129798419717e-02,2.884493864177275491e-01,3.339370000000000394e-01
8.000000000000000444e-01,1.908119925810251166e-02,4.220537311683918436e-01,6.975981030843199093e-01,5.457239339327710909e-02,4.224473850045033507e-01,7.018912739056686334e-01,2.506664671286085166e-01,2.486898871648547948e-01,7.733354552277038607e-01,4.191297373419753947e-01,-8.408415015110475010e-02,2.858248358783205822e-01,-7.573735214338395139e-02,2.892866376145582508e-01,3.297580000000000511e-01
8.500000000000000888e-01,3.441502654986071386e-02,4.348366673814691996e-01,6.922437808838268758e-01,3.228204392033762887e-02,4.627117138922124395e-01,6.801227927723827449e-01,2.506664671286085166e-01,2.486898871648547948e-01,7.733354552277038607e-01,3.634380391592492154e-01,-5.461741308032061482e-02,2.842610342974267734e-01,-8.109167434387698492e-02,2.853336806922663893e-01,3.262619999999999965e-01
