time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,9.655214548437163202e-01,-1.463365573999236002e-01,2.601726748011828350e-01,9.584951022674914611e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,7.500000000000001110e-02,-1.500000000000000222e-01,2.828500067873760404e-01,1.809258084767613184e-01,2.834438007232443213e-01,2.154000000000000012e-02
5.000000000000000278e-02,-1.479168296233440982e-01,2.529882245968976262e-01,9.584816061477958726e-01,-1.333424848935510776e-01,2.532380841055383303e-01,9.609503822871579004e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,1.500000000000000222e-01,-3.000000000000000444e-01,2.834928543977972559e-01,1.738859597808408708e-01,2.838764136694905127e-01,1.226300000000000133e-02
1.000000000000000056e-01,-1.438061618274828479e-01,2.587480636910663989e-01,9.434177271005088627e-01,-1.296581531623126060e-01,2.569207054687510650e-01,9.367473656056812814e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,2.250000000000000333e-01,-4.500000000000000666e-01,2.846645953995556311e-01,1.588220807335538609e-01,2.847707099569196099e-01,1.001900000000000013e-02
1.500000000000000222e-01,-1.374249642548079631e-01,2.673555764106738120e-01,9.222880552761587580e-01,-1.370265020161998415e-01,2.581130606151655904e-01,9.293145655226631163e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,3.000000000000000444e-01,-6.000000000000000888e-01,2.862473430011620579e-01,1.376924089092037562e-01,2.862612726424568765e-01,9.457999999999999394e-03
2.000000000000000111e-01,-1.286672361972138745e-01,2.785760591863367663e-01,8.938147795046855748e-01,-1.056084411341840085e-01,2.676902663480559275e-01,8.749997888493403764e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.750000000000000555e-01,-6.705354635014590947e-01,2.879910225678999347e-01,1.101468857319285455e-01,2.893162715947811270e-01,9.007000000000001116e-03
2.500000000000000000e-01,-1.172899495241941786e-01,2.923188661386502130e-01,8.647646857188719949e-01,-1.133242699868083625e-01,3.070446682670398553e-01,8.656060660879214552e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,4.500000000000000666e-01,-7.993796499672041200e-01,2.896944295466504782e-01,8.109679194611496555e-02,2.898635527390147626e-01,9.297999999999998974e-03
3.000000000000000444e-01,-1.030281832291932292e-01,3.084581653722138217e-01,8.293925359115310592e-01,-9.469862794581139498e-02,3.144025538809129827e-01,8.153285628110369387e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,5.250000000000001332e-01,-6.493796499672040978e-01,2.910592390728792278e-01,4.572464213877402983e-02,2.912900694303723337e-01,8.857000000000000289e-03
3.500000000000000333e-01,-8.645468710303506887e-02,3.261183718007961696e-01,8.048702245733707628e-01,-1.116440425287923005e-01,2.989525052521361803e-01,8.051818754612236617e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.000000000000000888e-01,-6.274987060593154586e-01,2.918695425604956872e-01,2.120233080061373343e-02,2.940568733755807296e-01,8.676000000000001419e-03
4.000000000000000222e-01,-6.681076195844795618e-02,3.459506460062612976e-01,7.754684408853584898e-01,-7.187116163168029426e-02,3.337605206757233711e-01,7.855816158694550744e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,6.750000000000000444e-01,-5.633405050271830250e-01,2.921007936809418837e-01,-6.897388026535722361e-03,2.927228173053447735e-01,9.809000000000000011e-03
4.500000000000000111e-01,-4.323596017618383525e-02,3.684573949899705991e-01,7.489812855085862253e-01,-2.221622516378563700e-02,3.711209676121133283e-01,7.546367642532780806e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,7.500000000000000000e-01,-4.702296001490835486e-01,2.914538540549741485e-01,-2.964360515610175995e-02,2.938687578445395299e-01,8.866000000000000617e-03
5.000000000000000000e-01,-1.725893433321850495e-02,3.921528557863797615e-01,7.300152258360919078e-01,-2.525187312324131059e-02,4.017615810323644232e-01,7.226094111495595662e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,8.000000000000000444e-01,-4.233735538319155500e-01,2.900784818793897268e-01,-4.860966482859607751e-02,2.900889350556641877e-01,9.378000000000000919e-03
5.500000000000000444e-01,1.088359802358377162e-02,4.168701199529911139e-01,7.113638005396003550e-01,-7.030474714036182710e-03,4.313659814869833520e-01,6.958914571419727579e-01,2.194686221820905392e-01,2.181432413965425365e-01,7.761766847564688376e-01,8.000000000000000444e-01,-3.968916052404131700e-01,2.879364830469546277e-01,-6.481288421686848267e-02,2.880973525806759805e-01,8.987000000000000197e-03
