time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,9.655214548437163202e-01,-1.463365573999236002e-01,2.601726748011828350e-01,9.584951022674914611e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,7.500000000000001110e-02,-1.500000000000000222e-01,2.828500067873760404e-01,1.809258084767613184e-01,2.834438007232443213e-01,3.835200000000000414e-02
5.000000000000000278e-02,-1.479168296233440982e-01,2.529882245968976262e-01,9.584816061477958726e-01,-1.333424848935510776e-01,2.532380841055383303e-01,9.609503822871579004e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,1.500000000000000222e-01,-3.000000000000000444e-01,2.834928543977972559e-01,1.738859597808408708e-01,2.838764136694905127e-01,8.085000000000000173e-03
1.000000000000000056e-01,-1.438061618274828479e-01,2.587480636910663989e-01,9.434177271005088627e-01,-1.296581531623126060e-01,2.569207054687510650e-01,9.367473656056812814e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,2.250000000000000333e-01,-4.500000000000000666e-01,2.846645953995556311e-01,1.588220807335538609e-01,2.847707099569196099e-01,6.693000000000000164e-03
1.500000000000000222e-01,-1.374249642548079631e-01,2.673555764106738120e-01,9.222880552761587580e-01,-1.370265020161998415e-01,2.581130606151655904e-01,9.293145655226631163e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,3.000000000000000444e-01,-6.000000000000000888e-01,2.862473430011620579e-01,1.376924089092037562e-01,2.862612726424568765e-01,6.151000000000000217e-03
2.000000000000000111e-01,-1.286672361972138745e-01,2.785760591863367663e-01,8.938147795046855748e-01,-1.056084411341840085e-01,2.676902663480559275e-01,8.749997888493403764e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,3.750000000000000555e-01,-7.500000000000001110e-01,2.879910225678999347e-01,1.101468857319285455e-01,2.893162715947811270e-01,6.201000000000000782e-03
2.500000000000000000e-01,-1.172777998900145641e-01,2.922801731509220291e-01,8.609448426674148891e-01,-1.133121203526287479e-01,3.070059752793116714e-01,8.617862230364643494e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,4.500000000000000666e-01,-9.000000000000001332e-01,2.896584459623531282e-01,7.727694889465785977e-02,2.898282297667619245e-01,6.121000000000000572e-03
3.000000000000000444e-01,-1.029312323519601252e-01,3.083124211708530016e-01,8.207151615525436483e-01,-9.460167706857829095e-02,3.142568096795521626e-01,8.066511884520495279e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,5.250000000000001332e-01,-9.763114804843501249e-01,2.908875682960435083e-01,3.704726777978661900e-02,2.911171745212416395e-01,5.451000000000000116e-03
3.500000000000000333e-01,-8.615326753873830956e-02,3.256167730721880038e-01,7.809678707784515339e-01,-1.113426229644955412e-01,2.984509065235280145e-01,7.812795216663044329e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.000000000000000888e-01,-8.831433536687911534e-01,2.913014788139844935e-01,-2.700022994305495416e-03,2.934759306009824820e-01,6.192000000000000455e-03
4.000000000000000222e-01,-6.592479049831979909e-02,3.448553427674906913e-01,7.396752309007608162e-01,-7.098519017155213717e-02,3.326652174369527648e-01,7.497884058848574007e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,6.750000000000000444e-01,-8.436669311729767529e-01,2.906993785017406573e-01,-4.269059801113339603e-02,2.913150170919960869e-01,5.921000000000000915e-03
4.500000000000000111e-01,-4.142194577319128351e-02,3.663312387728788200e-01,6.996435040671826755e-01,-2.040221076079308526e-02,3.689948113950215491e-01,7.052989828118745308e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,7.500000000000000000e-01,-7.097805697767737287e-01,2.886663016309660157e-01,-7.898138659750530977e-02,2.911304678407810598e-01,6.793000000000000427e-03
5.000000000000000000e-01,-1.420805690918363479e-02,3.885429357109398962e-01,6.694266401945236922e-01,-2.220099569920644042e-02,3.981516609569245579e-01,6.620208255079913506e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,8.000000000000000444e-01,-6.924358516136999153e-01,2.853660173639013253e-01,-1.091982504701642931e-01,2.853800103765308238e-01,6.032000000000000035e-03
5.500000000000000444e-01,1.551266203581365757e-02,4.113154198292707231e-01,6.381707495938342412e-01,-2.401410701806296760e-03,4.258112813632629612e-01,6.226984061962066441e-01,2.194686221820905392e-01,2.181432413965425365e-01,7.761766847564688376e-01,8.000000000000000444e-01,-6.115669519983438773e-01,2.807297449479507767e-01,-1.380059351626345965e-01,2.809155107850676569e-01,5.800999999999999733e-03
6.000000000000000888e-01,4.589297837149576564e-02,4.331921872709086907e-01,6.100028039509468591e-01,6.489214663090471513e-02,4.163978089183564824e-01,6.034844435321842226e-01,2.506664671286085166e-01,2.486898871648547948e-01,7.733354552277038607e-01,8.000000000000000444e-01,-4.615669519983438551e-01,2.750666225400172360e-01,-1.633326512767570016e-01,2.756325097701353699e-01,5.720000000000000258e-03
6.500000000000000222e-01,7.692968022645693682e-02,4.543698650095264746e-01,5.875514092378484321e-01,8.995653738252332166e-02,4.590363437048983197e-01,5.878497362243679802e-01,2.818024638751653321e-01,2.789911060392292752e-01,7.700940264136821867e-01,8.000000000000000444e-01,-4.294153068113456539e-01,2.685277952387572498e-01,-1.825426171758337546e-01,2.696860518787208005e-01,5.751000000000000903e-03
7.000000000000000666e-01,1.071875453633217151e-01,4.740383918727215651e-01,5.652415260466807645e-01,8.685466973923418321e-02,4.739521930729825305e-01,5.743572047985097129e-01,2.818024638751653321e-01,2.789911060392292752e-01,7.700940264136821867e-01,8.000000000000000444e-01,-4.396949857595219280e-01,2.615811445037486971e-01,-2.048525003670014222e-01,2.617896359253166216e-01,5.420000000000000338e-03
7.500000000000000000e-01,1.385877704697268398e-01,4.934304714524542224e-01,5.412467456319864922e-01,1.335751842505498443e-01,4.782204162626624289e-01,5.516928743905742394e-01,3.128689300804617379e-01,3.090169943749473958e-01,7.664441599109093062e-01,8.000000000000000444e-01,-3.257100759245153410e-01,2.537256418406955705e-01,-2.251974142789228139e-01,2.537365821537733712e-01,5.651000000000000641e-03
8.000000000000000444e-01,1.725012985904127438e-01,5.133042384033452699e-01,5.188960997270126718e-01,2.079924927255873413e-01,5.136978922394568325e-01,5.231892705483613959e-01,3.747626291714492575e-01,3.681245526846779748e-01,7.578805964862258548e-01,8.000000000000000444e-01,-2.249462827713496205e-01,2.444743424960851286e-01,-2.389844967592131830e-01,2.489714581910592028e-01,5.710999999999999931e-03
