time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,1.800000000000001599e-01,-1.463365573999236002e-01,2.601726748011828350e-01,1.729736474237753008e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,-1.500000000000000222e-01,2.500000000000000000e-01,1.800000000000001599e-01,2.915475947422649927e-01,4.711630000000000540e-01
5.000000000000000278e-02,-1.464139033485563068e-01,2.506395278462935639e-01,1.729601513040801564e-01,-1.318395586187632862e-01,2.508893873549342679e-01,1.754289274434421841e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,-3.000000000000000444e-01,2.506395278462935639e-01,1.729601513040801564e-01,2.902709148584703414e-01,2.849550000000000138e-01
1.000000000000000056e-01,-1.394342572708019701e-01,2.518048075328644941e-01,1.578962722567931465e-01,-1.252862486056317282e-01,2.499774493105491324e-01,1.512259107619655651e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000333e-01,-4.500000000000000666e-01,2.518048075328644941e-01,1.578962722567931465e-01,2.878325436730932441e-01,2.683329999999999882e-01
1.500000000000000222e-01,-1.288354445718034591e-01,2.533777433393306633e-01,1.367666004324430418e-01,-1.284369823331953375e-01,2.441352275438224417e-01,1.437931106789474001e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,-6.000000000000000888e-01,2.533777433393306633e-01,1.367666004324430418e-01,2.842513897903508058e-01,2.568110000000000115e-01
2.000000000000000111e-01,-1.147085016195095591e-01,2.551174321828751368e-01,1.082933246609694145e-01,-9.164970655647969311e-02,2.442316393445942979e-01,8.947833400562377193e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-01,-7.500000000000001110e-01,2.551174321828751368e-01,1.082933246609694145e-01,2.797194032372029016e-01,2.475540000000000240e-01
2.500000000000000000e-01,-9.696448039904356775e-02,2.567519687770634662e-01,7.542338782369872874e-02,-9.299880086165776549e-02,2.714777709054531085e-01,7.626476819274818908e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000666e-01,-9.000000000000001332e-01,2.567519687770634662e-01,7.542338782369872874e-02,2.744516058068429132e-01,2.370649999999999979e-01
3.000000000000000444e-01,-7.548326711885014473e-02,2.579412764359051979e-01,3.519370670882748797e-02,-6.715371183546831046e-02,2.638856649446043590e-01,2.112973360833336756e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000001332e-01,-8.347663774681317594e-01,2.579412764359051979e-01,3.519370670882748797e-02,2.687590476696919417e-01,2.391180000000000250e-01
3.500000000000000333e-01,-5.133430437801200785e-02,2.583908827594569857e-01,2.038069244448159623e-03,-7.652365980376923948e-02,2.312250162107970242e-01,2.349720132301058584e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000888e-01,-6.872377366481910999e-01,2.583908827594569857e-01,2.038069244448159623e-03,2.634408075814865802e-01,2.638639999999999874e-01
4.000000000000000222e-01,-2.342236055585097954e-02,2.579986341198636790e-01,-3.014236922192781165e-02,-2.848276022908331762e-02,2.458085087893257525e-01,-2.002919423783122710e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.472436094185108013e-01,-6.689700982132928964e-01,2.579986341198636790e-01,-3.014236922192781165e-02,2.590596498525457037e-01,2.298510000000000275e-01
4.500000000000000111e-01,2.966325433079938789e-03,2.567837108239693356e-01,-6.187176033994878921e-02,2.398606044547813704e-02,2.594472834461120647e-01,-5.621628159525693391e-02,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.016817950192519193e-01,-6.101552297998498187e-01,2.567837108239693356e-01,-6.187176033994878921e-02,2.577272918405205671e-01,2.280670000000000197e-01
