time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,1.800000000000001599e-01,-1.463365573999236002e-01,2.601726748011828350e-01,1.729736474237753008e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,-1.500000000000000222e-01,2.500000000000000000e-01,1.800000000000001599e-01,2.915475947422649927e-01,5.125910000000000188e-01
5.000000000000000278e-02,-1.464139033485563068e-01,2.506395278462935639e-01,1.729601513040801564e-01,-1.318395586187632862e-01,2.508893873549342679e-01,1.754289274434421841e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,-3.000000000000000444e-01,2.506395278462935639e-01,1.729601513040801564e-01,2.902709148584703414e-01,3.352290000000000547e-01
1.000000000000000056e-01,-1.394342572708019701e-01,2.518048075328644941e-01,1.578962722567931465e-01,-1.252862486056317282e-01,2.499774493105491324e-01,1.512259107619655651e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000333e-01,-4.500000000000000666e-01,2.518048075328644941e-01,1.578962722567931465e-01,2.878325436730932441e-01,3.153410000000000379e-01
1.500000000000000222e-01,-1.288354445718034591e-01,2.533777433393306633e-01,1.367666004324430418e-01,-1.284369823331953375e-01,2.441352275438224417e-01,1.437931106789474001e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,-6.000000000000000888e-01,2.533777433393306633e-01,1.367666004324430418e-01,2.842513897903508058e-01,3.451070000000000526e-01
2.000000000000000111e-01,-1.147085016195095591e-01,2.551174321828751368e-01,1.082933246609694145e-01,-9.164970655647969311e-02,2.442316393445942979e-01,8.947833400562377193e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-01,-6.519282221695775759e-01,2.551174321828751368e-01,1.082933246609694145e-01,2.797194032372029016e-01,3.318920000000000203e-01
2.500000000000000000e-01,-9.694132459100254784e-02,2.567963462674452413e-01,8.013767693424345140e-02,-9.297564505361674558e-02,2.715221483958348836e-01,8.097905730329291174e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000666e-01,-6.549026996707825177e-01,2.567963462674452413e-01,8.013767693424345140e-02,2.744849428835172689e-01,3.241169999999999884e-01
3.000000000000000444e-01,-7.541656853509234870e-02,2.582177272393114675e-01,5.174027238521805572e-02,-6.708701325171051444e-02,2.641621157480106286e-01,3.767629928472393530e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000001332e-01,-5.049026996707824955e-01,2.582177272393114675e-01,5.174027238521805572e-02,2.690056755353755213e-01,3.416010000000000435e-01
3.500000000000000333e-01,-5.116848586808453447e-02,2.592572290400439461e-01,3.394614836901332922e-02,-7.635784129384176611e-02,2.320913624913839846e-01,3.425779925686622818e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000888e-01,-4.277515721602708210e-01,2.592572290400439461e-01,3.394614836901332922e-02,2.642584431111978382e-01,3.433729999999999838e-01
4.000000000000000222e-01,-2.326402702275946408e-02,2.599240129001008648e-01,1.383524741883279674e-02,-2.832442669599180216e-02,2.477338875695629383e-01,2.394842240292938129e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.630839230183475319e-01,-4.089200595047037812e-01,2.599240129001008648e-01,1.383524741883279674e-02,2.609630384468411557e-01,3.348780000000000645e-01
4.500000000000000111e-01,3.927551162776314608e-03,2.600398925848631526e-01,-5.312094957983237720e-03,2.494728617517451286e-02,2.627034652070058818e-01,3.433837867086175777e-04,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.001174138515048773e-01,-3.390096417155872288e-01,2.600398925848631526e-01,-5.312094957983237720e-03,2.608923031358812983e-01,3.338559999999999861e-01
