time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,1.800000000000001599e-01,-1.463365573999236002e-01,2.601726748011828350e-01,1.729736474237753008e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,-1.500000000000000222e-01,2.500000000000000000e-01,1.800000000000001599e-01,2.915475947422649927e-01,2.240199999999999830e-02
5.000000000000000278e-02,-1.464139033485563068e-01,2.506395278462935639e-01,1.729601513040801564e-01,-1.318395586187632862e-01,2.508893873549342679e-01,1.754289274434421841e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,-3.000000000000000444e-01,2.506395278462935639e-01,1.729601513040801564e-01,2.902709148584703414e-01,1.149200000000000048e-02
1.000000000000000056e-01,-1.394342572708019701e-01,2.518048075328644941e-01,1.578962722567931465e-01,-1.252862486056317282e-01,2.499774493105491324e-01,1.512259107619655651e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000333e-01,-4.500000000000000666e-01,2.518048075328644941e-01,1.578962722567931465e-01,2.878325436730932441e-01,1.008900000000000075e-02
1.500000000000000222e-01,-1.288354445718034591e-01,2.533777433393306633e-01,1.367666004324430418e-01,-1.284369823331953375e-01,2.441352275438224417e-01,1.437931106789474001e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,-6.000000000000000888e-01,2.533777433393306633e-01,1.367666004324430418e-01,2.842513897903508058e-01,9.297000000000001443e-03
2.000000000000000111e-01,-1.147085016195095591e-01,2.551174321828751368e-01,1.082933246609694145e-01,-9.164970655647969311e-02,2.442316393445942979e-01,8.947833400562377193e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-01,-4.500000000000000666e-01,2.551174321828751368e-01,1.082933246609694145e-01,2.797194032372029016e-01,9.336999999999999814e-03
2.500000000000000000e-01,-9.689409833897377755e-02,2.568880807097903007e-01,8.984432282101151301e-02,-9.292841880158797530e-02,2.716138828381799430e-01,9.068570319006097336e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000666e-01,-5.402671803190461919e-01,2.568880807097903007e-01,8.984432282101151301e-02,2.745540972261795720e-01,9.046999999999999487e-03
3.000000000000000444e-01,-7.536200896112901781e-02,2.585799385249988869e-01,6.698104356597012199e-02,-6.703245367774718355e-02,2.645243270336980479e-01,5.291707046547600157e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000001332e-01,-3.902671803190461697e-01,2.585799385249988869e-01,6.698104356597012199e-02,2.693381090789966348e-01,8.937000000000000499e-03
3.500000000000000333e-01,-5.109588488208498258e-02,2.600560003731456349e-01,5.452541296595159181e-02,-7.628524030784221421e-02,2.328901338244856734e-01,5.483706385380449078e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.679051287541466708e-01,-4.063208590747752758e-01,2.600560003731456349e-01,5.452541296595159181e-02,2.650281358308222979e-01,8.757000000000000894e-03
4.000000000000000222e-01,-2.470319082588088438e-02,2.612437893254279109e-01,3.542281334096220036e-02,-2.976359049911322247e-02,2.490536639948899844e-01,4.553598832505878491e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.262689394579725954e-01,-3.776579520066330464e-01,2.612437893254279109e-01,3.542281334096220036e-02,2.624091558960708892e-01,8.716999999999999055e-03
4.500000000000000111e-01,7.020422291948297255e-04,2.619193321723198853e-01,1.774605114756822033e-02,2.172177724159302797e-02,2.645829047944626145e-01,2.340152989226007563e-02,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.028134988300519970e-01,-3.116173652723493448e-01,2.619193321723198853e-01,1.774605114756822033e-02,2.630439646093897244e-01,8.475999999999999160e-03
5.000000000000000000e-01,2.427360126464773657e-02,2.621897987335145008e-01,5.201492707298083218e-03,1.628066247462493094e-02,2.717985239794991625e-01,-2.204321979234258322e-03,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.078461890144824187e-01,-2.460277273446960233e-01,2.621897987335145008e-01,5.201492707298083218e-03,2.621908049780609096e-01,9.157000000000000209e-03
5.500000000000000444e-01,4.805222075205105303e-02,2.621853743398778191e-01,-5.573624789060094287e-03,3.013814801443109870e-02,2.766812358738700572e-01,-2.104596818668769131e-02,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.952649376800029590e-01,-2.158546577444601100e-01,2.621853743398778191e-01,-5.573624789060094287e-03,2.631968377457129526e-01,8.817000000000000184e-03
6.000000000000000888e-01,7.123142926716954926e-02,2.619423717214996450e-01,-1.539289926262865649e-02,9.023059752657849875e-02,2.451479933689474366e-01,-2.191125968139129299e-02,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.086724412028624798e-01,-2.147833974895900777e-01,2.619423717214996450e-01,-1.539289926262865649e-02,2.635174316152428253e-01,8.645999999999999172e-03
6.500000000000000222e-01,9.511500112071194502e-02,2.614483127335299750e-01,-2.597348739727545208e-02,1.081418582767783299e-01,2.661147914289018201e-01,-2.567516041075590394e-02,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.925075331385652677e-01,-2.221608143482268760e-01,2.614483127335299750e-01,-2.597348739727545208e-02,2.614939453319337082e-01,8.616000000000000394e-03
7.000000000000000666e-01,1.173163727497259501e-01,2.607400639828736932e-01,-3.780713406962066259e-02,9.698349712563841818e-02,2.606538651831346587e-01,-2.869145531779171421e-02,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.025090668023415308e-01,-2.096918745429763031e-01,2.607400639828736932e-01,-3.780713406962066259e-02,2.613144422549211199e-01,8.625999999999999987e-03
7.500000000000000000e-01,1.404662415974056999e-01,2.597251711824168918e-01,-4.981697845003862923e-02,1.354536553782287045e-01,2.445151159926250983e-01,-3.937084969145088209e-02,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.902042442618554929e-01,-1.486891427298894508e-01,2.597251711824168918e-01,-4.981697845003862923e-02,2.601852593343540465e-01,8.465999999999999567e-03
8.000000000000000444e-01,1.645025014620329074e-01,2.583917860502707997e-01,-6.101722733885184269e-02,1.999936955972075048e-01,2.587854398863823069e-01,-5.672405651750311861e-02,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.992014849813762312e-01,-1.056936401344303889e-01,2.583917860502707997e-01,-6.101722733885184269e-02,2.608186870235756349e-01,8.596000000000001209e-03
8.500000000000000888e-01,1.882309082088587104e-01,2.568630412873216806e-01,-6.765848657336981375e-02,1.860979255793356324e-01,2.847380877980649205e-01,-7.977947468481394466e-02,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.109215196174047291e-01,-6.257392502101669085e-02,2.568630412873216806e-01,-6.765848657336981375e-02,2.571325212822381245e-01,1.081000000000000016e-02
9.000000000000000222e-01,2.129542993371972837e-01,2.550802360276157033e-01,-7.631243897804429466e-02,2.362045364803291303e-01,2.447502527021326590e-01,-9.819479170574574312e-02,2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.875072991897140828e-01,2.040509471299640359e-02,2.550802360276157033e-01,-7.631243897804429466e-02,2.553644958022981970e-01,8.797000000000000999e-03
