time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,-1.499999999999999944e-01,2.500000000000000000e-01,1.800000000000001599e-01,-1.463365573999236002e-01,2.601726748011828350e-01,1.729736474237753008e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,-1.500000000000000222e-01,2.500000000000000000e-01,1.800000000000001599e-01,2.915475947422649927e-01,2.365500000000000241e-02
5.000000000000000278e-02,-1.464139033485563068e-01,2.506395278462935639e-01,1.729601513040801564e-01,-1.318395586187632862e-01,2.508893873549342679e-01,1.754289274434421841e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,-3.000000000000000444e-01,2.506395278462935639e-01,1.729601513040801564e-01,2.902709148584703414e-01,8.767000000000000487e-03
1.000000000000000056e-01,-1.394342572708019701e-01,2.518048075328644941e-01,1.578962722567931465e-01,-1.252862486056317282e-01,2.499774493105491324e-01,1.512259107619655651e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000333e-01,-4.500000000000000666e-01,2.518048075328644941e-01,1.578962722567931465e-01,2.878325436730932441e-01,7.414000000000000451e-03
1.500000000000000222e-01,-1.288354445718034591e-01,2.533777433393306633e-01,1.367666004324430418e-01,-1.284369823331953375e-01,2.441352275438224417e-01,1.437931106789474001e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,-5.286543826595142548e-01,2.533777433393306633e-01,1.367666004324430418e-01,2.842513897903508058e-01,7.122999999999999991e-03
2.000000000000000111e-01,-1.147114035186786868e-01,2.551413477712075606e-01,1.116783810463548576e-01,-9.165260845564882075e-02,2.442555549329267217e-01,9.286339039100921511e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-01,-5.015679605070808567e-01,2.551413477712075606e-01,1.116783810463548576e-01,2.797424055085918071e-01,6.743000000000000729e-03
2.500000000000000000e-01,-9.691501910114949658e-02,2.569487752295667726e-01,9.075051851834148309e-02,-9.294933956376369433e-02,2.716745773579564149e-01,9.159189888739094343e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000666e-01,-5.209447876552253387e-01,2.569487752295667726e-01,9.075051851834148309e-02,2.746182696386942901e-01,6.372000000000000060e-03
3.000000000000000444e-01,-7.538077138374958686e-02,2.586705462112526277e-01,6.882004388254747695e-02,-6.705121610036775259e-02,2.646149347199517887e-01,5.475607078205335654e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.589016645651176618e-01,-4.959293658288587703e-01,2.586705462112526277e-01,6.882004388254747695e-02,2.694303475327842756e-01,6.502000000000000834e-03
3.500000000000000333e-01,-5.422322225873708879e-02,2.599366816907259237e-01,5.072379170379992530e-02,-7.941257768449432042e-02,2.327708151420659621e-01,5.103544259165282426e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.679588448845107829e-01,-4.484068863553739015e-01,2.599366816907259237e-01,5.072379170379992530e-02,2.655319873772389316e-01,6.181000000000000730e-03
4.000000000000000222e-01,-3.246974785792316326e-02,2.608118955653522253e-01,2.969941566317846338e-02,-3.753014753115550134e-02,2.486217702348142988e-01,3.981259064727504793e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.630608663172371964e-01,-4.917828509145045768e-01,2.608118955653522253e-01,2.969941566317846338e-02,2.628252830196313172e-01,6.623000000000000415e-03
4.500000000000000111e-01,-1.011739998354562256e-02,2.612158391805946001e-01,6.439933299756450680e-03,1.090233502885257569e-02,2.638794118027373292e-01,1.209541204444830598e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.598133228778810144e-01,-5.266614856276261580e-01,2.612158391805946001e-01,6.439933299756450680e-03,2.614116990902459747e-01,6.071000000000000008e-03
5.000000000000000000e-01,1.140660243839319854e-02,2.611088283135207244e-01,-1.638324990959416638e-02,3.413663648370392906e-03,2.707175535595053861e-01,-2.378906459612650792e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.656696732568210151e-01,-4.755012493601508128e-01,2.611088283135207244e-01,-1.638324990959416638e-02,2.613578596530955478e-01,5.891000000000000403e-03
5.500000000000000444e-01,3.319008637618055257e-02,2.605166747300505237e-01,-3.797057088761901511e-02,1.527601363856059824e-02,2.750125362640427618e-01,-5.344291428524661214e-02,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.711245234430683215e-01,-4.228080346179879934e-01,2.605166747300505237e-01,-3.797057088761901511e-02,2.606453823248212620e-01,6.181000000000000730e-03
6.000000000000000888e-01,5.521126454523031524e-02,2.594647791733594167e-01,-5.749176951271328662e-02,7.421043280463926473e-02,2.426704008208072083e-01,-6.401012993147592312e-02,7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.787044274902997332e-01,-3.756000794732045622e-01,2.594647791733594167e-01,-5.749176951271328662e-02,2.602183038957464056e-01,6.352000000000000007e-03
6.500000000000000222e-01,7.764808286264140991e-02,2.579695678492788247e-01,-7.559339093043471181e-02,9.067494001870779474e-02,2.626360465446506698e-01,-7.529506394391516366e-02,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.771062825950249109e-01,-3.758297368801047922e-01,2.579695678492788247e-01,-7.559339093043471181e-02,2.589361043502025894e-01,6.512000000000000427e-03
7.000000000000000666e-01,9.910758735337858727e-02,2.561423396850489032e-01,-9.429230154034984324e-02,7.877471172929105536e-02,2.560561408853098686e-01,-8.517662278852089486e-02,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.806299415678506048e-01,-3.390116113112570662e-01,2.561423396850489032e-01,-9.429230154034984324e-02,2.561438942853466183e-01,6.402000000000000572e-03
7.500000000000000000e-01,1.211735504683181253e-01,2.538564880257495604e-01,-1.121548145892932169e-01,1.161609642491411437e-01,2.386464328359577669e-01,-1.017086858307054698e-01,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.849698838062053707e-01,-3.012370866703915073e-01,2.538564880257495604e-01,-1.121548145892932169e-01,2.538853249575210302e-01,5.931000000000000508e-03
8.000000000000000444e-01,1.448535361312703884e-01,2.509657575535655938e-01,-1.307928017286701383e-01,1.803447302664449858e-01,2.513594113896771010e-01,-1.264996309073214142e-01,1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.850345827163189960e-01,-2.961670463685452948e-01,2.509657575535655938e-01,-1.307928017286701383e-01,2.527698968394450629e-01,5.981000000000000205e-03
8.500000000000000888e-01,1.677545460669202237e-01,2.477706178335118137e-01,-1.464566866093623965e-01,1.656215634373971457e-01,2.756456643442550258e-01,-1.585776747208065274e-01,1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.859784879824919912e-01,-2.643133434271929261e-01,2.477706178335118137e-01,-1.464566866093623965e-01,2.478765331052872056e-01,5.841000000000000705e-03
9.000000000000000222e-01,1.911192679653440085e-01,2.441069762926743048e-01,-1.646149318028711228e-01,2.143695051084758552e-01,2.337769929671912605e-01,-1.864972845305725713e-01,2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.941117715792815446e-01,-1.505088799852374870e-01,2.441069762926743048e-01,-1.646149318028711228e-01,2.464469920245658530e-01,5.731000000000000850e-03
9.500000000000000666e-01,2.142294511221464748e-01,2.401524642047313529e-01,-1.743334468386636971e-01,2.057955716818784253e-01,2.407881206135581431e-01,-2.026236456837859912e-01,2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.949131205195613781e-01,-1.271030935958619157e-01,2.401524642047313529e-01,-1.743334468386636971e-01,2.403938659507247333e-01,5.751000000000000903e-03
1.000000000000000000e+00,2.370578489317570481e-01,2.360353107803258021e-01,-1.825348219813207606e-01,2.330879435708138880e-01,2.206746766181294228e-01,-1.699116660259885059e-01,2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.935170001871886369e-01,-1.739336010975047198e-01,2.360353107803258021e-01,-1.825348219813207606e-01,2.363430973310328420e-01,5.962000000000000285e-03
1.050000000000000044e+00,2.596697711062542768e-01,2.317955388793592197e-01,-1.881641961744247027e-01,2.485422777900880009e-01,2.509664659220991467e-01,-1.947633377367044005e-01,2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.925404351964940974e-01,-1.746605652615945692e-01,2.317955388793592197e-01,-1.881641961744247027e-01,2.319971472187101758e-01,5.661000000000000233e-03
1.100000000000000089e+00,2.819286203934822099e-01,2.274255790124456444e-01,-1.995538927163793552e-01,2.847315238541494598e-01,2.199942717003316173e-01,-2.232708486376537849e-01,2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.971036075498045381e-01,-7.969310662001917456e-02,2.274255790124456444e-01,-1.995538927163793552e-01,2.275310962697255912e-01,5.851000000000000298e-03
1.150000000000000133e+00,3.048351061723812427e-01,2.227506533221149387e-01,-2.030914448340777057e-01,2.954774844441329096e-01,2.366338589848669960e-01,-2.185884086658309577e-01,3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.958887028929754859e-01,-1.058580432438716717e-01,2.227506533221149387e-01,-2.030914448340777057e-01,2.228031234231855062e-01,6.332000000000000822e-03
1.200000000000000178e+00,3.283759592995684762e-01,2.178230598445919375e-01,-2.095920072404746648e-01,3.275597844225490718e-01,1.948739647279366383e-01,-2.240960531847848713e-01,3.250000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.988352517558671817e-01,-2.222442815205080691e-02,2.178230598445919375e-01,-2.095920072404746648e-01,2.178492196480240339e-01,6.032000000000000035e-03
