time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,7.500000000000001110e-02,-5.549940845602188699e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.388000000000000567e-01
5.000000000000000278e-02,2.651691407383851770e-03,2.651609433865253270e-03,7.852439578014358545e-01,2.651691407383851770e-03,2.651609433865253270e-03,7.852439578014358545e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,1.500000000000000222e-01,-5.319651489192591710e-03,-5.203069512323913598e-07,-2.774970422803058057e-04,3.749999987967541498e-03,3.022460000000000147e-01
1.000000000000000056e-01,7.956515123388385388e-03,7.953386966966081648e-03,7.849779752269760991e-01,7.956515123388385388e-03,7.953386966966081648e-03,7.849779752269760991e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,2.250000000000000333e-01,-5.698635778413310010e-03,-3.598969326611654862e-06,-5.434796167400612887e-04,1.124999987355617716e-02,2.750650000000000039e-01
1.500000000000000222e-01,1.591594101106479087e-02,1.590386108378847099e-02,7.846930434380556818e-01,1.591594101106479087e-02,1.590386108378847099e-02,7.846930434380556818e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.000000000000000444e-01,-4.493763871795598830e-03,-1.121185893739745643e-05,-4.583392615780113033e-04,2.192426484750131452e-02,2.870079999999999854e-01
2.000000000000000111e-01,2.653120967732048446e-02,2.650178872067925073e-02,7.844683552444657870e-01,2.653120967732048446e-02,2.650178872067925073e-02,7.844683552444657870e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.750000000000000555e-01,-6.143274904978655165e-03,-1.977210883566957525e-05,-6.830274551679060835e-04,6.924292684214202083e-03,2.658480000000000287e-01
2.500000000000000000e-01,3.980381784688963309e-02,3.974566917970610846e-02,7.841611914992165921e-01,3.980381784688963309e-02,3.974566917970610846e-02,7.841611914992165921e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,4.500000000000000666e-01,-8.117224386255823473e-03,-3.545853184617770576e-05,-9.901912004171009585e-04,1.182578206947068611e-02,2.572820000000000107e-01
3.000000000000000444e-01,5.573661252178808978e-02,5.563264645350796123e-02,7.837553302799036281e-01,5.573661252178808978e-02,5.563264645350796123e-02,7.837553302799036281e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,5.250000000000001332e-01,-1.067869072607019465e-02,-5.967803685053615220e-05,-8.403160870513737279e-04,1.007129757373216757e-02,2.998420000000000529e-01
3.500000000000000333e-01,7.433358029645550924e-02,7.415871654993450024e-02,7.832213957436002794e-01,7.433358029645550924e-02,7.415871654993450024e-02,7.832213957436002794e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,6.000000000000000888e-01,-1.312152880524681750e-02,-8.874421864014242489e-05,-1.374250623354722478e-03,1.617910622437038551e-02,2.679030000000000022e-01
4.000000000000000222e-01,9.559985170531441756e-02,9.531871815867822006e-02,7.825653193033379473e-01,9.559985170531441756e-02,9.531871815867822006e-02,7.825653193033379473e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.750000000000000444e-01,-1.907865566390508361e-02,-1.216584706384920113e-04,-1.102574469419081993e-03,1.840845178989355263e-03,2.506889999999999952e-01
4.500000000000000111e-01,1.195435619440769204e-01,1.191044524047414899e-01,7.816113865201428368e-01,1.195435619440769204e-01,1.191044524047414899e-01,7.816113865201428368e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,7.500000000000000000e-01,-2.589439624030664272e-02,-1.615728434083765763e-04,-7.544423917513753963e-04,8.674609192490289125e-03,2.497080000000000133e-01
5.000000000000000000e-01,1.461773811224609254e-01,1.455031167560225380e-01,7.803166667081273822e-01,1.461773811224609254e-01,1.455031167560225380e-01,7.803166667081273822e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,8.000000000000000444e-01,-3.347845578013748657e-02,-2.069372116769822856e-04,-3.695547360984541285e-04,1.532512257455262428e-02,2.642650000000000277e-01
