time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,7.500000000000001110e-02,2.098508423866111625e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.037560000000000038e-01
5.000000000000000278e-02,2.649931697924409139e-03,2.653367804541205150e-03,7.865707090556490755e-01,2.649931697924409139e-03,2.653367804541205150e-03,7.865707090556490755e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,1.500000000000000222e-01,1.396413874971228278e-02,1.967351467071012938e-06,1.049254211932915126e-03,3.749999827978710287e-03,3.344470000000000498e-01
1.000000000000000056e-01,7.945156549584391978e-03,7.964732175888595764e-03,7.872689159931347547e-01,7.945156549584391978e-03,7.964732175888595764e-03,7.872689159931347547e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,2.250000000000000333e-01,5.354272399566345486e-03,1.245503044102445889e-05,1.747461149418594317e-03,1.124999872137943079e-02,3.211120000000000085e-01
1.500000000000000222e-01,1.588414527141576021e-02,1.593561401660989474e-02,7.875366296131129928e-01,1.588414527141576021e-02,1.593561401660989474e-02,7.875366296131129928e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.000000000000000444e-01,2.485199657002008788e-02,3.372382946375228341e-05,2.385246913479299735e-03,2.192432927582118121e-02,3.065840000000000232e-01
2.000000000000000111e-01,2.646143421414840630e-02,2.657144636160931050e-02,7.887792294416140493e-01,2.646143421414840630e-02,2.657144636160931050e-02,7.887792294416140493e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.750000000000000555e-01,8.228971841473781135e-03,7.882196103459930894e-05,3.627846741980356171e-03,6.924820709943571746e-03,3.331749999999999989e-01
2.500000000000000000e-01,3.967204651539815718e-02,3.987716759971959152e-02,7.891906780336874760e-01,3.967204651539815718e-02,3.987716759971959152e-02,7.891906780336874760e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,4.500000000000000666e-01,-8.136365802881193390e-03,1.507012414325072797e-04,4.039295334053782938e-03,1.182645020302374936e-02,3.158320000000000016e-01
3.000000000000000444e-01,5.552474431366377638e-02,5.584406978941038047e-02,7.887838597435434806e-01,5.552474431366377638e-02,5.584406978941038047e-02,7.887838597435434806e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,5.250000000000001332e-01,2.398003246951120257e-03,2.396339355166098722e-04,4.188213376588478809e-03,1.007452591931476231e-02,3.089990000000000236e-01
3.500000000000000333e-01,7.402223070076523193e-02,7.446946902093007359e-02,7.889037599058910111e-01,7.402223070076523193e-02,7.446946902093007359e-02,7.889037599058910111e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,6.000000000000000888e-01,-1.870321372791690362e-02,3.511478908033247720e-04,4.308113538936009235e-03,1.618189799536653289e-02,3.248090000000000144e-01
4.000000000000000222e-01,9.517088951591393120e-02,9.574701974301967622e-02,7.879685992194951361e-01,9.517088951591393120e-02,9.574701974301967622e-02,7.879685992194951361e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.750000000000000444e-01,-1.558982234949037038e-02,4.845168414036137147e-04,4.300705446738106730e-03,1.898183325971757084e-03,3.077460000000000195e-01
4.500000000000000111e-01,1.189836442213251105e-01,1.196638580722176465e-01,7.871891081020203629e-01,1.189836442213251105e-01,1.196638580722176465e-01,7.871891081020203629e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,7.500000000000000000e-01,-1.779192792445449464e-02,6.299035793707529959e-04,4.823279190126150695e-03,8.698703185505677130e-03,3.012640000000000318e-01
5.000000000000000000e-01,1.454644285283840932e-01,1.462160325545987516e-01,7.862995117057978156e-01,1.454644285283840932e-01,1.462160325545987516e-01,7.862995117057978156e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,8.000000000000000444e-01,-2.435863040109001107e-02,8.012926825859785149e-04,5.613290261571979300e-03,1.534943150928875198e-02,3.141689999999999761e-01
5.500000000000000444e-01,1.737404269920383437e-01,1.745085706716059115e-01,7.850815801857433662e-01,1.737404269920383437e-01,1.745085706716059115e-01,7.850815801857433662e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,8.000000000000000444e-01,-3.351330318075853437e-02,1.002803643248197790e-03,6.456689521055380965e-03,1.937183243888140546e-02,3.429820000000000091e-01
6.000000000000000888e-01,2.020573278818360297e-01,2.027601679648045607e-01,7.834059150267052019e-01,2.020573278818360297e-01,2.027601679648045607e-01,7.834059150267052019e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,8.000000000000000444e-01,-5.820962697626735904e-02,1.227556711975625464e-03,4.781024362017216589e-03,2.068995268731300963e-02,3.197190000000000309e-01
6.500000000000000222e-01,2.304389305523395770e-01,2.309467516598966985e-01,7.804954336778919810e-01,2.304389305523395770e-01,2.309467516598966985e-01,7.804954336778919810e-01,2.194686221820905392e-01,2.181432413965425365e-01,7.761766847564688376e-01,8.000000000000000444e-01,-6.262687224201371472e-02,1.451231029165613376e-03,4.318748921423143372e-03,1.686053204386419799e-02,3.063339999999999952e-01
7.000000000000000666e-01,2.589055512091316680e-01,2.590474669712129474e-01,7.773640900657912134e-01,2.589055512091316680e-01,2.590474669712129474e-01,7.773640900657912134e-01,2.506664671286085166e-01,2.486898871648547948e-01,7.733354552277038607e-01,8.000000000000000444e-01,-6.812418649826385009e-02,1.656512389081354550e-03,4.028634838087352676e-03,1.323487687630709418e-02,3.025470000000000104e-01
7.500000000000000000e-01,2.874638724397047818e-01,2.870549792049645332e-01,7.739578807408777905e-01,2.874638724397047818e-01,2.870549792049645332e-01,7.739578807408777905e-01,2.818024638751653321e-01,2.789911060392292752e-01,7.700940264136821867e-01,8.000000000000000444e-01,-7.458086865450914982e-02,1.847124592633307347e-03,3.863854327195603844e-03,9.852796423742135601e-03,3.071150000000000269e-01
8.000000000000000444e-01,3.161219293028197930e-01,3.149604253173152735e-01,7.702288373081520589e-01,3.161219293028197930e-01,3.149604253173152735e-01,7.702288373081520589e-01,3.128689300804617379e-01,3.090169943749473958e-01,7.664441599109093062e-01,8.000000000000000444e-01,-8.188137718598326176e-02,2.025328612934253116e-03,3.784677397242752761e-03,6.775424363636423433e-03,3.026070000000000149e-01
