time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,7.500000000000001110e-02,-5.549940845602188699e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.671900000000000858e-02
5.000000000000000278e-02,2.651691407383851770e-03,2.651609433865253270e-03,7.852439578014358545e-01,2.651691407383851770e-03,2.651609433865253270e-03,7.852439578014358545e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,1.500000000000000222e-01,-4.271327122192470661e-03,-5.203069512323913598e-07,-2.774970422803058057e-04,3.749999987967541498e-03,1.150200000000000181e-02
1.000000000000000056e-01,7.956376177556862689e-03,7.953526000097460927e-03,7.850303914453262699e-01,7.956376177556862689e-03,7.953526000097460927e-03,7.850303914453262699e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,2.250000000000000333e-01,-3.836316427319690255e-03,-3.402408526020743451e-06,-4.910633983898904376e-04,1.124999989835647439e-02,1.030900000000000045e-02
1.500000000000000222e-01,1.591501514914191173e-02,1.590478787051289450e-02,7.848385756239601996e-01,1.591501514914191173e-02,1.590478787051289450e-02,7.848385756239601996e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.000000000000000444e-01,-8.774767437684505983e-03,-9.901838394246048614e-06,-3.128070756734935287e-04,2.192426388606194543e-02,9.568000000000000116e-03
2.000000000000000111e-01,2.652987564928988018e-02,2.650312420001292232e-02,7.843998372520761819e-01,2.652987564928988018e-02,2.650312420001292232e-02,7.843998372520761819e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.750000000000000555e-01,-6.381453497310085078e-03,-1.788448188018909243e-05,-7.515454475575111815e-04,6.924286991048370088e-03,9.107000000000000511e-03
2.500000000000000000e-01,3.980347008224868061e-02,3.974601617445801260e-02,7.840807645772107648e-01,3.980347008224868061e-02,3.974601617445801260e-02,7.840807645772107648e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,4.500000000000000666e-01,-5.753532603442884641e-03,-3.496726291750146959e-05,-1.070618122422928309e-03,1.182577994102302840e-02,8.866999999999999882e-03
3.000000000000000444e-01,5.573660375067340106e-02,5.563265357866160887e-02,7.837930879470387246e-01,5.573660375067340106e-02,5.563265357866160887e-02,7.837930879470387246e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,5.250000000000001332e-01,-1.314389033848259274e-02,-5.966679742904455741e-05,-8.025584199162771881e-04,1.007129868000845342e-02,1.035900000000000015e-02
3.500000000000000333e-01,7.433401366660949416e-02,7.415827960365665994e-02,7.831358934301144714e-01,7.433401366660949416e-02,7.415827960365665994e-02,7.831358934301144714e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,6.000000000000000888e-01,-9.520869096125452596e-03,-8.935962712201990510e-05,-1.459752936840530424e-03,1.617910757686372505e-02,8.967000000000001012e-03
4.000000000000000222e-01,9.560018973581196899e-02,9.531837739164787660e-02,7.826598499753081306e-01,9.560018973581196899e-02,9.531837739164787660e-02,7.826598499753081306e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.750000000000000444e-01,-2.030412376395053162e-02,-1.221384556031321952e-04,-1.008043797448898715e-03,1.840875860632616452e-03,8.635999999999999580e-03
4.500000000000000111e-01,1.195423800403617176e-01,1.191056413282634008e-01,7.816446437871107378e-01,1.195423800403617176e-01,1.191056413282634008e-01,7.816446437871107378e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,7.500000000000000000e-01,-2.815831283840010413e-02,-1.598964080476716898e-04,-7.211851247834744072e-04,8.674578248956541643e-03,8.536000000000000185e-03
5.000000000000000000e-01,1.461768150339172734e-01,1.455036836852650894e-01,7.802367281451907388e-01,1.461768150339172734e-01,1.455036836852650894e-01,7.802367281451907388e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,8.000000000000000444e-01,-3.633166017174127571e-02,-2.061360532099537970e-04,-4.494932990350974933e-04,1.532511495762038829e-02,8.566000000000000697e-03
5.500000000000000444e-01,1.746322380955608045e-01,1.736157533064475178e-01,7.784201451366037361e-01,1.746322380955608045e-01,1.736157533064475178e-01,7.784201451366037361e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,8.000000000000000444e-01,-4.449341818983425928e-02,-2.590951215858550843e-04,-2.047455280842491732e-04,1.933975928958517679e-02,8.465999999999999567e-03
6.000000000000000888e-01,2.031444050742789442e-01,2.016702658541593973e-01,7.761954742271122143e-01,2.031444050742789442e-01,2.016702658541593973e-01,7.761954742271122143e-01,1.882166266370286500e-01,1.873813145857246287e-01,7.786248906646879853e-01,8.000000000000000444e-01,-3.365887877793253408e-02,-3.117783348033746627e-04,-2.429416437575770971e-03,2.066428555317938870e-02,8.366000000000000172e-03
6.500000000000000222e-01,2.317113332320605568e-01,2.296690200762313283e-01,7.745125302882156504e-01,2.317113332320605568e-01,2.296690200762313283e-01,7.745125302882156504e-01,2.194686221820905392e-01,2.181432413965425365e-01,7.761766847564688376e-01,8.000000000000000444e-01,-4.934088241340663789e-02,-3.519442800623204248e-04,-1.664154468253187247e-03,1.681450409694638243e-02,8.276000000000000370e-03
7.000000000000000666e-01,2.603362932160641630e-01,2.576084340716381371e-01,7.720454861675452030e-01,2.603362932160641630e-01,2.576084340716381371e-01,7.720454861675452030e-01,2.506664671286085166e-01,2.486898871648547948e-01,7.733354552277038607e-01,8.000000000000000444e-01,-5.741704896667533531e-02,-3.726479899783443489e-04,-1.289969060158657754e-03,1.315469556812822946e-02,8.656000000000000499e-03
7.500000000000000000e-01,2.890357174332272572e-01,2.854713476073363898e-01,7.691746337192113536e-01,2.890357174332272572e-01,2.854713476073363898e-01,7.691746337192113536e-01,2.818024638751653321e-01,2.789911060392292752e-01,7.700940264136821867e-01,8.000000000000000444e-01,-6.643288332347707659e-02,-3.840005546306328801e-04,-9.193926944708330495e-04,9.711513157908959956e-03,8.326000000000001802e-03
8.000000000000000444e-01,3.178212710962217691e-01,3.132452639535422412e-01,7.658529895530374887e-01,3.178212710962217691e-01,3.132452639535422412e-01,7.658529895530374887e-01,3.128689300804617379e-01,3.090169943749473958e-01,7.664441599109093062e-01,8.000000000000000444e-01,-7.545101459174724523e-02,-3.888680510153448393e-04,-5.911703578718174867e-04,6.511831168392630612e-03,8.255999999999999450e-03
8.500000000000000888e-01,3.467051564023609922e-01,3.409168969375965808e-01,7.620804388234501126e-01,3.467051564023609922e-01,3.409168969375965808e-01,7.620804388234501126e-01,3.438582005588191048e-01,3.387379202452914240e-01,7.623765137973599337e-01,8.000000000000000444e-01,-8.460761919363496419e-02,-3.903986802445723932e-04,-2.960749739098211819e-04,3.585121615885076586e-03,9.407999999999999696e-03
9.000000000000000222e-01,3.756995328406431689e-01,3.684727266076838204e-01,7.578500578637683560e-01,3.756995328406431689e-01,3.684727266076838204e-01,7.578500578637683560e-01,3.747626291714492575e-01,3.681245526846779748e-01,7.578805964862258548e-01,8.000000000000000444e-01,-9.391914493675544706e-02,-3.911354911619902312e-04,-3.053862245749883186e-05,9.995066613136176312e-04,8.475999999999999160e-03
9.500000000000000666e-01,4.048166013744887715e-01,3.958988706992059292e-01,7.531541006169306662e-01,4.048166013744887715e-01,3.958988706992059292e-01,7.531541006169306662e-01,4.055745907130249850e-01,3.971478906347806204e-01,7.529447150598791438e-01,8.000000000000000444e-01,-1.034173407080604123e-01,-3.930771067435044749e-04,2.093855570515223974e-04,1.461026569504323509e-03,8.295999999999999555e-03
1.000000000000000000e+00,4.340686137874764650e-01,4.231810297916385188e-01,7.479832335815275179e-01,4.340686137874764650e-01,4.231810297916385188e-01,7.479832335815275179e-01,4.362864827930850731e-01,4.257792915650726595e-01,7.475559179387234465e-01,8.000000000000000444e-01,-1.131341157076518611e-01,-3.976274550602108739e-04,4.273156428040714161e-04,3.416124583402724985e-03,8.234999999999999265e-03
1.050000000000000044e+00,4.634678901434261533e-01,4.503044197587561248e-01,7.423265277961448305e-01,4.634678901434261533e-01,4.503044197587561248e-01,7.423265277961448305e-01,4.668907277118107824e-01,4.539904997395467490e-01,7.416999317587289475e-01,8.000000000000000444e-01,-1.231033725089922815e-01,-4.055535897963986891e-04,6.265960374158829893e-04,5.030209006028537808e-03,8.115000000000000685e-03
1.100000000000000089e+00,4.930268346312824956e-01,4.772537008120628088e-01,7.361713591706950943e-01,4.930268346312824956e-01,4.772537008120628088e-01,7.361713591706950943e-01,4.973797743297095897e-01,4.817536741017153235e-01,7.353610923648465914e-01,8.000000000000000444e-01,-1.333609177649921207e-01,-4.169374369143640999e-04,8.102668058485029690e-04,6.260818127507668945e-03,8.245999999999999858e-03
1.150000000000000133e+00,5.227579504310944092e-01,5.040129015648665556e-01,7.295033132824455535e-01,5.227579504310944092e-01,5.040129015648665556e-01,7.295033132824455535e-01,5.277460999307458378e-01,5.090414157503713177e-01,7.285222698794653340e-01,8.000000000000000444e-01,-1.439445861997331599e-01,-4.311223036277838684e-04,9.810434029802195255e-04,7.082908325306449919e-03,8.747000000000001302e-03
1.200000000000000178e+00,5.526738529826694668e-01,5.305653377592215447e-01,7.223060839724588789e-01,5.526738529826694668e-01,5.305653377592215447e-01,7.223060839724588789e-01,5.579822120784585504e-01,5.358267949789966567e-01,7.211647878806650702e-01,8.000000000000000444e-01,-1.548943351261096446e-01,-4.466532273347612395e-04,1.141296091793808642e-03,7.474062373660682324e-03,8.346000000000000987e-03
1.250000000000000000e+00,5.827872810785937885e-01,5.568935251428839273e-01,7.145613672161532648e-01,5.827872810785937885e-01,5.568935251428839273e-01,7.145613672161532648e-01,5.880806504646078903e-01,5.620833778521305835e-01,7.132683368307422000e-01,8.000000000000000444e-01,-1.662523347753667169e-01,-4.612103824726322167e-04,1.293030385411064742e-03,7.413118817371415134e-03,8.205000000000000487e-03
