time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,7.500000000000001110e-02,-3.856525922729654027e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.320100000000000329e-02
5.000000000000000278e-02,2.653878694499047387e-03,2.649419468038545066e-03,7.835931918823515474e-01,2.653878694499047387e-03,2.649419468038545066e-03,7.835931918823515474e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,1.500000000000000222e-01,-3.303115829640939499e-02,-3.615491932366368330e-06,-1.928262961364612949e-03,3.749999419031637034e-03,8.236000000000000265e-03
1.000000000000000056e-01,7.971112242572972809e-03,7.938749728988789625e-03,7.819416339675311356e-01,7.971112242572972809e-03,7.938749728988789625e-03,7.819416339675311356e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.855214548437161604e-01,2.250000000000000333e-01,-2.863484073044625378e-02,-2.427077786472733867e-05,-3.579820876185024758e-03,1.124999456191940958e-02,6.893000000000000689e-03
1.500000000000000222e-01,1.595918475118515006e-02,1.586043995123736366e-02,7.805098919310089478e-01,1.595918475118515006e-02,1.586043995123736366e-02,7.805098919310089478e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.000000000000000444e-01,-3.242194891887051345e-02,-7.249320718305529709e-05,-4.641490768624745300e-03,2.192449214253676393e-02,7.604000000000000516e-03
2.000000000000000111e-01,2.662605785735904299e-02,2.640642349297535676e-02,7.788887944850655387e-01,2.662605785735904299e-02,2.640642349297535676e-02,7.788887944850655387e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,3.750000000000000555e-01,-2.915588973289306995e-02,-1.542733854523249161e-04,-6.262588214568154399e-03,6.926315188858119844e-03,6.252000000000000612e-03
2.500000000000000000e-01,3.997992742700373636e-02,3.956836123998798416e-02,7.774309999984208019e-01,3.997992742700373636e-02,3.956836123998798416e-02,7.774309999984208019e-01,3.141463462364135067e-02,3.141075907812829193e-02,7.851513826996336931e-01,4.500000000000000666e-01,-2.652874764929978590e-02,-2.853626582141272419e-04,-7.720382701212891163e-03,1.182838593547358777e-02,6.452000000000000270e-03
3.000000000000000444e-01,5.602654315215462727e-02,5.534036331782143936e-02,7.761045626159557287e-01,5.602654315215462727e-02,5.534036331782143936e-02,7.761045626159557287e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,5.250000000000001332e-01,-2.909444993089324236e-02,-4.713665413214346983e-04,-8.491083750999273150e-03,1.008347722177236998e-02,8.736000000000000709e-03
3.500000000000000333e-01,7.477316404531308969e-02,7.371498123414910175e-02,7.746498401194110706e-01,7.477316404531308969e-02,7.371498123414910175e-02,7.746498401194110706e-01,6.282151815625658386e-02,6.279051952931337388e-02,7.845956463669550018e-01,6.000000000000000888e-01,-2.721612177286657219e-02,-7.133472739382301989e-04,-9.945806247543931278e-03,1.619214942488561570e-02,6.081000000000000467e-03
4.000000000000000222e-01,9.622741506978212123e-02,9.468436305848089429e-02,7.732890340307676524e-01,9.622741506978212123e-02,9.468436305848089429e-02,7.732890340307676524e-01,9.421290141928533035e-02,9.410831331851432502e-02,7.836678937727570293e-01,6.750000000000000444e-01,-3.130285377162556754e-02,-1.013976548178038535e-03,-1.037885974198937689e-02,2.095256201745614340e-03,5.951000000000000560e-03
4.500000000000000111e-01,1.203979334058959128e-01,1.182395813940436968e-01,7.717238913421864410e-01,1.203979334058959128e-01,1.182395813940436968e-01,7.717238913421864410e-01,1.255810390586267478e-01,1.253332335643042583e-01,7.823658289118942122e-01,7.500000000000000000e-01,-3.596835717899143220e-02,-1.377277778008831072e-03,-1.064193756970777116e-02,8.785470125156234419e-03,6.162000000000000810e-03
5.000000000000000000e-01,1.472980423455850785e-01,1.443668422533940510e-01,7.699254734832368108e-01,1.472980423455850785e-01,1.443668422533940510e-01,7.699254734832368108e-01,1.569181914556898871e-01,1.564344650402308690e-01,7.806862214442258363e-01,8.000000000000000444e-01,-4.131690122849297070e-02,-1.802866072601448481e-03,-1.076074796098902553e-02,1.543291251274475293e-02,6.291999999999999850e-03
