time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.716000000000000553e-02
5.000000000000000278e-02,3.750000000000000729e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000729e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000729e-03,1.245300000000000053e-02
1.000000000000000056e-01,1.125000000000000305e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000305e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000305e-02,9.548000000000000931e-03
1.500000000000000222e-01,2.250000000000000611e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000611e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.499999999999995282e-03,8.726000000000001117e-03
2.000000000000000111e-01,3.750000000000000555e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.249999999999999722e-02,8.987000000000000197e-03
2.500000000000000000e-01,5.625000000000000833e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.625000000000000833e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.250000000000005551e-03,8.115999999999999950e-03
3.000000000000000444e-01,7.875000000000001443e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.875000000000001443e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.966249999999999831e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000003331e-03,7.574000000000000871e-03
3.500000000000000333e-01,1.035812500000000136e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.035812500000000136e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.967768750000001177e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.581250000000008038e-03,7.484000000000001068e-03
4.000000000000000222e-01,1.284200937500000195e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.284200937500000195e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.969219156250000990e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.420093750000019472e-03,7.624000000000000568e-03
4.500000000000000111e-01,1.532661895312500133e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.532661895312500133e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.970604294218747832e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.266189531249991118e-03,7.604000000000000516e-03
5.000000000000000000e-01,1.781192110023437636e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.781192110023437636e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.971927100978908443e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.119211002343746930e-03,7.283999999999999676e-03
5.500000000000000444e-01,2.029788465072382975e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.029788465072382975e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.973190381434855478e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.978846507238286367e-03,8.255000000000000185e-03
