time_s,x_m,y_m,yaw_rad,measured_x_m,measured_y_m,measured_yaw_rad,reference_x_m,reference_y_m,reference_yaw_rad,linear_mps,angular_radps,cross_track_error_m,heading_error_rad,position_error_m,compute_ms
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.046900000000000108e-02
5.000000000000000278e-02,3.750000000000000729e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000729e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000729e-03,9.718000000000000943e-03
1.000000000000000056e-01,1.125000000000000305e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000305e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000305e-02,7.153000000000000504e-03
1.500000000000000222e-01,2.250000000000000611e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000611e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.499999999999995282e-03,6.372000000000000060e-03
2.000000000000000111e-01,3.750000000000000555e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000000555e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.249999999999999722e-02,6.573000000000000717e-03
2.500000000000000000e-01,5.625000000000000833e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.625000000000000833e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.250000000000005551e-03,5.701000000000000338e-03
3.000000000000000444e-01,7.875000000000001443e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.875000000000001443e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000003331e-03,5.540999999999999918e-03
3.500000000000000333e-01,1.037500000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.037500000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000001110e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000003331e-03,5.551000000000000378e-03
4.000000000000000222e-01,1.287500000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.287500000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000001110e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000031086e-03,5.619999999999999996e-03
4.500000000000000111e-01,1.537500000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.537500000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.999999999999997780e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.750000000000031086e-03,5.290000000000000431e-03
