scenario,trajectory,controller,seed,cross_track_rmse_m,cross_track_mae_m,heading_rmse_rad,position_rmse_m,maximum_position_error_m,maximum_cross_track_error_m,settling_time_s,control_effort,control_variation,compute_mean_ms,compute_p95_ms,compute_max_ms,compute_throughput_hz,deadline_miss_ratio
nominal,straight,pid,42,0.0,0.0,0.0,0.001443304828082565,0.012499999999999997,0.0,0.0,2.959350298744119,0.4249999293580429,0.008232012448132781,0.009108,0.027091,121476.97860039366,0.0
nominal,straight,pure_pursuit,42,0.0,0.0,0.0,0.003890020746831773,0.012499999999999997,0.0,0.0,2.9630937499999868,0.42500000000034927,0.005236257261410789,0.005541,0.020469,190976.10183701574,0.0
nominal,straight,lqr,42,0.0,0.0,0.0,0.001336740322102188,0.012499999999999997,0.0,0.0,2.959355917086405,0.4249999999901016,0.23074056016597513,0.24880600000000003,0.7151400000000001,4333.871770445062,0.0
nominal,straight,mpc,42,0.0,0.0,0.0,0.0013028065587697383,0.012499999999999997,0.0,0.0,2.9593603332906193,0.4250000000000109,0.30167532780082995,0.31769600000000003,0.450064,3314.821955410995,0.0
nominal,figure_eight,pid,42,0.003129099798978684,0.002387796567359988,0.0033508764448761962,0.006892072455595847,0.021924263886061945,0.008710021804572065,0.0,13.643480935971922,8.052586477844088,0.008403765586034914,0.008636,0.03671900000000001,118994.27581152019,0.0
nominal,figure_eight,pure_pursuit,42,0.03593519883253371,0.03071875919797877,0.09836812625434004,0.036964161032531584,0.0728872810437186,0.07250007319198559,0.0,11.660994714561848,5.945465733549037,0.005220865336658355,0.005451,0.017373,191539.1291513479,0.0
nominal,figure_eight,lqr,42,0.002270472319181959,0.0018714104361237669,0.003353012346710911,0.005965593237043079,0.021924264847501315,0.004478930309470077,0.0,13.633160853939899,7.991089071195509,0.23979817456359107,0.26404500000000003,0.5388000000000001,4170.173529552095,0.0
nominal,figure_eight,mpc,42,0.00409531728054402,0.0034922744239327943,0.002820813872950156,0.006749489426271975,0.0222799158447007,0.008674170498899484,0.0,13.638433845041483,7.943622893513217,0.30321681795511224,0.32642200000000005,0.403756,3297.9701018696082,0.0
disturbed,straight,pid,43,0.13724051370101456,0.11717346095441862,0.054880467067688864,0.13966946855630868,0.291547594742265,0.2621897987335145,5.45,3.116555047101411,19.680828731091847,0.008435377593360995,0.008817,0.022402,118548.3386999822,0.0
disturbed,straight,pure_pursuit,43,0.09671638845126074,0.04991239861932492,0.09135487831985396,0.10002288292160966,0.291547594742265,0.2612158391805946,2.4000000000000004,3.1454984641329116,12.221671780505815,0.00535443153526971,0.005621,0.030607,186761.18901007267,0.0
disturbed,straight,lqr,43,0.0913902303459372,0.047833754984737666,0.08535051482127794,0.09503177207075136,0.291547594742265,0.258390882759457,2.3000000000000003,3.2889152637851833,17.105248436244906,0.22760829875518673,0.24612200000000004,0.47116300000000005,4393.512914375719,0.0
disturbed,straight,mpc,43,0.14039039356453845,0.1213672378966082,0.05140442265498461,0.1427472547386378,0.291547594742265,0.26003989258486315,6.15,3.1627724872424845,16.617254482778257,0.3019702116182573,0.31606200000000007,0.42697,3311.584923032651,0.0
disturbed,figure_eight,pid,43,0.08463722968365817,0.04704933301888227,0.05525383764122202,0.08613354532474639,0.29405687337558073,0.2921007936809419,2.85,13.615077691554132,37.832361330272946,0.008421468827930175,0.008876000000000002,0.02154,118744.13127119293,0.0
disturbed,figure_eight,pure_pursuit,43,0.07525055329061758,0.04773920611279715,0.123407120242556,0.07701599152874461,0.2934759306009825,0.2913014788139845,1.55,11.736338873550563,21.185825968298026,0.005304097256857855,0.0056110000000000005,0.015388000000000002,188533.4961961839,0.0
disturbed,figure_eight,lqr,43,0.08003400075848552,0.03406533040180068,0.0658845551673509,0.08166063800384978,0.29361326296529117,0.2914302737132547,2.45,13.255629475687087,30.538888439766207,0.23810216458852868,0.263253,0.47486,4199.87782021272,0.0
disturbed,figure_eight,mpc,43,0.12950090877002868,0.09147283587174256,0.06268231304975615,0.13070025689338424,0.2931751869648297,0.2915719854332467,8.15,10.776001177487505,36.333230700252315,0.30218208229426435,0.32199300000000003,0.407434,3309.2630522884606,0.0
